customer_id,tenure_months,contract_type,monthly_charges,total_charges,internet_service,online_security,tech_support,streaming_tv,payment_method,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,support_calls_3mo,avg_data_gb_3mo,late_payments_6mo,plan_changes_6mo,churned
CUST50048,46,One year,80.43,3554.72,Fiber optic,Yes,No,No,Mailed check,Yes,0,Yes,No,Yes,No,3,15.3,0,0,1
CUST50049,16,Month-to-month,57.0,700.26,DSL,Yes,No,Yes,Electronic check,Yes,0,Yes,No,Yes,No,2,17.44,0,0,0
CUST50050,24,Month-to-month,96.47,2564.9,No internet service,No,No,Yes,Electronic check,No,0,No,No,No,No phone service,0,0.0,2,0,0
CUST50051,46,Month-to-month,33.92,1381.99,DSL,Yes,Yes,Yes,Credit card (automatic),No,0,Yes,No,Yes,No,1,11.48,1,0,0
CUST50052,18,One year,59.92,950.51,DSL,No,Yes,Yes,Credit card (automatic),No,0,No,Yes,Yes,No,1,12.18,1,0,0
CUST50053,25,One year,104.18,2383.01,DSL,No,No,Yes,Credit card (automatic),No,1,Yes,Yes,Yes,No,1,55.47,0,0,1
CUST50054,28,One year,32.72,807.32,DSL,Yes,No,Yes,Mailed check,No,1,No,No,Yes,No,1,12.24,0,0,0
CUST50055,20,One year,79.19,1605.66,DSL,No,Yes,No,Electronic check,Yes,0,No,Yes,Yes,No,2,38.38,0,0,1
CUST50056,60,Month-to-month,111.34,7512.64,Fiber optic,No,Yes,No,Bank transfer (automatic),No,0,Yes,No,Yes,No,0,12.96,1,0,0
CUST50057,23,One year,56.05,1230.05,DSL,Yes,No,Yes,Mailed check,Yes,0,No,No,Yes,Yes,1,25.31,0,0,0
CUST50058,28,Month-to-month,71.59,2152.58,Fiber optic,No,No,No,Electronic check,Yes,1,Yes,No,Yes,No,1,34.44,0,0,1
CUST50059,24,Month-to-month,43.58,921.17,DSL,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,No,1,30.08,0,0,0
CUST50060,71,One year,58.22,3788.73,DSL,No,No,No,Electronic check,No,0,No,No,Yes,No,1,12.93,2,2,0
CUST50061,36,Month-to-month,63.27,2529.11,DSL,No,No,Yes,Electronic check,Yes,0,No,No,Yes,No,3,44.08,0,0,1
CUST50062,2,One year,36.75,56.67,DSL,No,Yes,Yes,Bank transfer (automatic),No,0,No,Yes,Yes,Yes,1,30.24,1,0,0
CUST50063,26,One year,90.36,2237.35,DSL,No,Yes,No,Mailed check,No,1,No,No,Yes,No,2,0.0,0,0,0
CUST50064,57,One year,49.46,3051.39,DSL,No,No,No,Mailed check,Yes,0,No,Yes,Yes,No,2,44.42,0,0,0
CUST50065,52,One year,92.52,4777.31,Fiber optic,No,No,No,Bank transfer (automatic),No,0,Yes,Yes,Yes,No,2,29.35,0,0,0
CUST50066,14,One year,63.43,702.14,Fiber optic,Yes,No,No,Credit card (automatic),No,0,Yes,Yes,Yes,No,2,25.12,1,0,0
CUST50067,65,Month-to-month,88.27,4441.03,No internet service,Yes,No,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,Yes,2,0.0,0,0,0
CUST50068,35,Month-to-month,85.07,3282.99,DSL,Yes,No,Yes,Bank transfer (automatic),Yes,0,No,No,Yes,No,1,0.0,0,1,1
CUST50069,56,Month-to-month,117.31,5994.15,Fiber optic,No,No,No,Bank transfer (automatic),No,1,Yes,No,Yes,No,1,13.39,0,0,0
CUST50070,25,Month-to-month,59.37,1388.27,Fiber optic,No,No,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,No,2,31.2,0,0,0
CUST50071,40,Month-to-month,63.69,2093.73,DSL,Yes,No,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,No,5,10.03,0,0,0
CUST50072,47,Two year,88.8,3913.99,DSL,No,No,No,Mailed check,No,0,Yes,No,Yes,No,0,40.58,0,0,0
CUST50073,50,Month-to-month,80.23,3675.65,Fiber optic,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,Yes,0,5.0,1,2,0
CUST50074,49,Month-to-month,85.92,4472.89,Fiber optic,Yes,No,No,Mailed check,Yes,0,Yes,Yes,Yes,No,1,25.11,1,0,0
CUST50075,65,Month-to-month,106.53,5451.89,Fiber optic,Yes,No,No,Mailed check,Yes,1,Yes,No,Yes,No,1,52.61,0,0,1
CUST50076,55,Month-to-month,73.95,4088.11,DSL,No,No,Yes,Electronic check,Yes,0,No,Yes,Yes,No,4,12.36,0,0,0
CUST50077,43,One year,66.94,3277.14,No internet service,Yes,Yes,No,Mailed check,Yes,0,Yes,No,Yes,No,0,0.0,0,0,0
CUST50078,25,One year,65.86,1425.61,DSL,No,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,Yes,5,11.5,2,0,0
CUST50079,4,One year,57.09,237.44,No internet service,No,No,No,Bank transfer (automatic),No,0,Yes,No,Yes,No,1,0.0,1,0,1
CUST50080,19,One year,52.22,781.97,Fiber optic,No,Yes,No,Mailed check,No,1,No,No,Yes,No,1,39.05,0,0,0
CUST50081,22,Month-to-month,84.25,1748.27,Fiber optic,No,No,Yes,Electronic check,Yes,1,No,No,Yes,No,2,27.07,0,0,1
CUST50082,61,Two year,94.43,5152.81,Fiber optic,No,No,No,Electronic check,No,0,Yes,No,Yes,No,0,29.28,0,0,0
CUST50083,24,Month-to-month,73.5,1831.0,DSL,No,No,Yes,Mailed check,Yes,0,Yes,No,Yes,No,2,33.34,0,0,0
CUST50084,2,Month-to-month,105.36,238.63,Fiber optic,No,No,Yes,Bank transfer (automatic),Yes,0,Yes,No,Yes,No,1,12.98,0,0,1
CUST50085,71,Month-to-month,87.32,6544.56,Fiber optic,No,No,No,Electronic check,No,0,No,No,Yes,No,2,6.23,0,0,0
CUST50086,33,One year,93.18,2539.96,Fiber optic,No,Yes,No,Electronic check,No,0,No,Yes,Yes,No,2,31.31,0,0,0
CUST50087,54,Month-to-month,66.95,3894.81,DSL,Yes,No,No,Electronic check,No,1,No,No,Yes,No,1,54.64,1,0,0
CUST50088,6,Month-to-month,54.87,250.95,DSL,No,No,No,Mailed check,No,0,No,No,Yes,No,1,33.73,1,1,1
CUST50089,31,Month-to-month,99.6,3159.4,DSL,No,Yes,No,Electronic check,No,0,Yes,No,Yes,No,0,2.54,1,1,1
CUST50090,64,Month-to-month,70.34,3460.81,Fiber optic,No,No,Yes,Mailed check,Yes,0,No,Yes,Yes,Yes,1,80.9,0,2,0
CUST50091,26,One year,67.28,1899.52,Fiber optic,No,No,No,Bank transfer (automatic),Yes,0,No,Yes,Yes,No,2,5.76,1,0,0
CUST50092,34,Month-to-month,94.73,3564.0,Fiber optic,No,No,Yes,Credit card (automatic),Yes,0,Yes,No,Yes,Yes,0,0.0,1,0,0
CUST50093,70,Month-to-month,54.86,3878.79,Fiber optic,No,No,No,Bank transfer (automatic),No,0,No,No,Yes,Yes,3,59.68,0,0,0
CUST50094,9,Month-to-month,81.9,624.25,Fiber optic,No,No,No,Electronic check,Yes,0,Yes,No,Yes,No,1,13.36,2,0,1
CUST50095,56,One year,54.03,2510.98,DSL,Yes,No,Yes,Mailed check,Yes,0,No,No,Yes,No,1,19.09,0,1,0
CUST50096,31,Month-to-month,88.54,2300.84,Fiber optic,No,No,No,Credit card (automatic),No,0,Yes,No,Yes,No,0,48.88,0,0,1
CUST50097,15,Month-to-month,75.24,986.71,DSL,No,No,No,Electronic check,No,0,Yes,No,Yes,No,1,58.02,1,1,1
CUST50098,18,Month-to-month,70.08,1199.31,DSL,No,No,Yes,Credit card (automatic),Yes,0,Yes,No,Yes,No,1,24.73,1,0,0
CUST50099,35,Two year,64.67,1746.61,DSL,No,No,No,Bank transfer (automatic),Yes,1,Yes,No,Yes,No,0,41.34,0,0,0
CUST50100,40,Two year,100.62,4267.94,DSL,Yes,No,No,Electronic check,No,0,Yes,No,Yes,No,2,60.61,1,0,0
CUST50101,17,One year,120.0,1937.32,DSL,No,No,Yes,Electronic check,No,0,Yes,Yes,Yes,No,5,6.74,0,0,0
CUST50102,10,Month-to-month,105.56,1027.35,Fiber optic,Yes,No,No,Credit card (automatic),No,0,Yes,No,Yes,No,0,33.21,0,0,1
CUST50103,72,Two year,61.35,4457.21,DSL,Yes,Yes,No,Credit card (automatic),Yes,0,No,No,No,No phone service,2,21.07,0,0,0
CUST50104,54,One year,48.63,2137.22,DSL,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,No,0,6.24,2,0,0
CUST50105,42,One year,52.25,2175.02,DSL,Yes,Yes,Yes,Electronic check,Yes,0,Yes,No,Yes,No,0,44.75,1,0,0
CUST50106,57,Month-to-month,89.27,4634.71,Fiber optic,No,No,No,Bank transfer (automatic),No,0,Yes,Yes,Yes,No,1,49.54,1,0,1
CUST50107,6,Month-to-month,119.38,671.5,Fiber optic,No,No,No,Electronic check,No,0,No,Yes,Yes,Yes,1,39.53,0,0,1
CUST50108,64,Month-to-month,57.85,3667.76,DSL,No,No,No,Mailed check,No,1,Yes,Yes,Yes,No,1,38.36,1,0,0
CUST50109,23,Two year,76.34,1487.36,DSL,No,No,No,Bank transfer (automatic),Yes,1,Yes,No,Yes,No,0,23.04,0,0,0
CUST50110,16,Month-to-month,64.94,815.03,No internet service,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,Yes,No phone service,1,0.0,1,0,0
CUST50111,39,Month-to-month,115.57,4126.05,Fiber optic,No,No,No,Mailed check,No,0,Yes,No,Yes,No,1,38.08,0,0,0
CUST50112,67,Month-to-month,86.14,4681.11,Fiber optic,No,Yes,Yes,Mailed check,No,0,Yes,No,Yes,No,1,70.2,0,1,0
CUST50113,37,One year,65.7,1899.15,Fiber optic,No,No,No,Electronic check,Yes,1,No,No,Yes,Yes,1,0.0,1,0,1
CUST50114,18,Month-to-month,79.16,1481.93,Fiber optic,No,Yes,Yes,Mailed check,No,0,No,No,Yes,No,1,17.04,0,0,0
CUST50115,16,Two year,102.58,1633.28,No internet service,Yes,Yes,No,Electronic check,Yes,0,No,No,Yes,No,1,0.0,0,0,0
CUST50116,28,One year,67.3,1532.96,DSL,No,Yes,Yes,Credit card (automatic),No,0,No,Yes,Yes,No,0,36.62,0,0,0
CUST50117,50,One year,106.34,5033.51,Fiber optic,No,No,Yes,Electronic check,No,0,Yes,No,No,No phone service,3,54.79,0,1,0
CUST50118,48,Month-to-month,87.97,4711.13,DSL,Yes,Yes,No,Bank transfer (automatic),Yes,0,No,No,Yes,No,3,46.4,0,0,0
CUST50119,17,One year,95.65,1811.91,Fiber optic,No,No,Yes,Electronic check,No,0,No,No,Yes,No,0,22.74,0,0,0
CUST50120,42,One year,60.05,2337.93,DSL,Yes,No,No,Mailed check,Yes,0,No,No,Yes,No,0,39.59,0,0,0
CUST50121,71,One year,65.8,5214.72,DSL,Yes,No,No,Electronic check,Yes,0,No,No,Yes,No,0,25.94,0,1,0
CUST50122,62,Month-to-month,52.97,3577.93,No internet service,No,Yes,No,Mailed check,No,0,Yes,No,Yes,No,1,0.0,1,2,0
CUST50123,60,Month-to-month,72.12,3455.83,Fiber optic,No,No,Yes,Bank transfer (automatic),No,0,No,No,Yes,Yes,2,46.59,0,0,1
CUST50124,39,Month-to-month,75.04,2521.95,DSL,No,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,No,Yes,Yes,2,0.0,1,2,1
CUST50125,33,Month-to-month,68.75,1941.23,No internet service,No,No,No,Credit card (automatic),No,0,Yes,No,Yes,No,2,0.0,0,0,1
CUST50126,62,Month-to-month,77.02,3655.79,DSL,No,No,No,Electronic check,Yes,0,Yes,No,Yes,Yes,0,10.44,0,0,0
CUST50127,27,Month-to-month,111.18,2909.19,Fiber optic,No,No,Yes,Bank transfer (automatic),No,1,Yes,Yes,Yes,No,1,12.13,0,0,0
CUST50128,34,Month-to-month,120.0,4057.51,Fiber optic,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,No,Yes,No,3,16.98,0,0,0
CUST50129,13,One year,46.39,464.81,DSL,Yes,No,No,Electronic check,Yes,0,No,No,Yes,No,1,0.0,1,0,1
CUST50130,38,Month-to-month,102.51,3855.64,Fiber optic,No,No,Yes,Credit card (automatic),Yes,0,No,No,Yes,No,1,51.1,0,2,1
CUST50131,7,Two year,69.2,404.92,Fiber optic,No,Yes,No,Credit card (automatic),No,0,No,No,Yes,No,1,73.95,1,0,0
CUST50132,32,One year,31.7,867.3,DSL,No,No,Yes,Credit card (automatic),No,1,No,Yes,Yes,Yes,0,31.46,0,0,0
CUST50133,55,Month-to-month,120.0,5023.27,DSL,No,No,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,No,0,57.11,0,0,0
CUST50134,13,One year,66.55,652.87,DSL,No,No,No,Bank transfer (automatic),Yes,0,No,Yes,Yes,No,1,16.23,0,0,1
CUST50135,64,Month-to-month,85.78,5567.56,Fiber optic,No,No,Yes,Mailed check,Yes,0,No,Yes,Yes,No,3,51.99,0,1,1
CUST50136,48,Two year,87.73,3522.68,DSL,Yes,Yes,No,Bank transfer (automatic),Yes,1,Yes,Yes,Yes,No,0,19.69,1,0,0
CUST50137,36,Month-to-month,120.0,4897.43,DSL,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,No,Yes,No,2,17.72,1,0,1
CUST50138,27,One year,88.87,2664.6,Fiber optic,Yes,No,No,Electronic check,No,0,No,No,Yes,Yes,2,30.96,1,0,0
CUST50139,65,Month-to-month,120.0,5975.49,DSL,No,No,No,Credit card (automatic),Yes,0,No,No,Yes,No,1,60.69,0,0,0
CUST50140,62,Month-to-month,79.83,5354.41,DSL,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,No phone service,1,48.86,1,0,0
CUST50141,69,Month-to-month,116.63,8000.0,Fiber optic,No,No,No,Electronic check,No,0,No,No,Yes,No,0,54.49,1,2,1
CUST50142,48,Two year,64.45,2826.51,Fiber optic,No,No,No,Bank transfer (automatic),Yes,1,No,Yes,Yes,No,1,2.34,0,0,0
CUST50143,43,One year,50.72,1837.67,DSL,No,Yes,No,Credit card (automatic),Yes,0,No,Yes,Yes,Yes,1,8.27,0,1,0
CUST50144,25,Month-to-month,101.1,2469.64,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No,0,No,No,No,No phone service,1,19.28,1,0,0
CUST50145,19,Month-to-month,120.0,2539.44,Fiber optic,Yes,No,No,Credit card (automatic),No,1,Yes,Yes,Yes,No,3,54.73,0,0,1
CUST50146,62,Month-to-month,69.42,3426.27,DSL,Yes,No,Yes,Mailed check,Yes,1,No,Yes,No,No phone service,3,40.58,0,0,0
CUST50147,59,One year,102.97,6790.97,Fiber optic,No,No,No,Credit card (automatic),Yes,0,No,Yes,Yes,Yes,0,0.0,1,0,0
CUST50148,26,Month-to-month,102.83,2733.64,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No,0,Yes,No,Yes,No,0,23.04,0,1,1
CUST50149,16,Month-to-month,88.52,1103.19,Fiber optic,Yes,No,No,Credit card (automatic),Yes,0,No,No,No,No phone service,1,15.97,0,0,0
CUST50150,38,Two year,98.57,3549.4,Fiber optic,No,No,No,Electronic check,No,0,No,No,Yes,No,2,25.59,0,0,0
CUST50151,67,Two year,65.27,3382.68,Fiber optic,No,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,Yes,1,68.92,1,0,0
CUST50152,62,Month-to-month,99.37,6320.75,No internet service,No,No,No,Credit card (automatic),No,0,No,No,Yes,No,0,0.0,0,0,1
CUST50153,14,One year,77.75,847.4,Fiber optic,Yes,Yes,No,Electronic check,Yes,0,Yes,No,No,No phone service,2,20.87,0,0,0
CUST50154,52,Month-to-month,110.83,5225.32,Fiber optic,No,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,No,3,6.86,0,0,0
CUST50155,26,One year,87.55,1801.17,Fiber optic,Yes,No,No,Credit card (automatic),No,0,No,Yes,Yes,No,1,43.13,0,0,0
CUST50156,41,Month-to-month,96.95,4508.25,Fiber optic,Yes,Yes,No,Bank transfer (automatic),Yes,0,No,No,Yes,No,0,25.79,0,1,0
CUST50157,9,One year,20.01,155.33,No internet service,No,No,Yes,Credit card (automatic),No,0,No,No,Yes,No,0,0.0,0,0,0
CUST50158,3,One year,56.5,160.81,DSL,No,No,No,Bank transfer (automatic),No,0,Yes,No,Yes,Yes,2,39.73,2,1,1
CUST50159,21,One year,47.09,835.31,DSL,Yes,Yes,No,Credit card (automatic),No,0,No,No,Yes,No,1,21.48,1,0,0
CUST50160,52,Month-to-month,107.13,5430.9,Fiber optic,Yes,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,Yes,1,24.24,1,0,0
CUST50161,37,Two year,63.91,1877.11,DSL,No,No,No,Bank transfer (automatic),No,0,No,No,Yes,Yes,0,9.56,1,0,0
CUST50162,27,Month-to-month,58.21,1617.88,Fiber optic,No,No,No,Credit card (automatic),Yes,1,No,No,Yes,No,1,0.0,0,1,1
CUST50163,28,Month-to-month,107.44,2464.0,Fiber optic,Yes,No,Yes,Bank transfer (automatic),Yes,0,No,Yes,Yes,Yes,0,42.55,0,0,1
CUST50164,5,One year,61.35,347.08,No internet service,Yes,No,No,Electronic check,Yes,1,No,No,Yes,No,2,0.0,2,0,0
CUST50165,46,Month-to-month,79.7,3601.59,DSL,No,Yes,No,Mailed check,No,0,Yes,Yes,Yes,No,0,33.47,0,0,0
CUST50166,27,Two year,93.12,2798.96,Fiber optic,Yes,No,No,Bank transfer (automatic),Yes,1,No,Yes,Yes,Yes,1,25.4,0,0,0
CUST50167,27,Two year,74.56,1577.99,DSL,No,No,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,No,3,17.78,1,0,0
CUST50168,49,Month-to-month,120.0,5134.84,Fiber optic,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,No,Yes,Yes,1,29.69,0,0,1
CUST50169,42,Two year,89.04,3633.5,DSL,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,No,Yes,No,2,40.19,0,1,0
CUST50170,13,Month-to-month,96.54,1237.73,Fiber optic,No,No,Yes,Credit card (automatic),No,0,No,Yes,Yes,No,0,34.91,0,0,0
CUST50171,46,Month-to-month,102.26,5037.55,Fiber optic,No,No,No,Electronic check,Yes,1,No,Yes,Yes,Yes,1,15.22,0,0,1
CUST50172,4,Month-to-month,90.24,273.01,Fiber optic,Yes,No,No,Bank transfer (automatic),Yes,0,No,Yes,No,No phone service,2,45.31,0,0,0
CUST50173,67,Two year,72.31,5005.5,Fiber optic,No,No,No,Bank transfer (automatic),Yes,0,No,No,Yes,No,1,28.97,0,0,1
CUST50174,39,Month-to-month,100.42,3802.68,DSL,Yes,Yes,No,Electronic check,No,1,No,Yes,Yes,No,0,28.58,0,0,0
CUST50175,64,Month-to-month,116.54,8000.0,DSL,No,Yes,No,Mailed check,Yes,0,No,Yes,Yes,No,2,18.04,0,0,0
CUST50176,70,Month-to-month,77.36,5804.41,DSL,Yes,No,Yes,Bank transfer (automatic),Yes,0,No,No,No,No phone service,0,19.68,0,0,0
CUST50177,20,Two year,77.0,1340.88,No internet service,No,No,No,Credit card (automatic),Yes,1,Yes,No,Yes,No,2,0.0,0,0,0
CUST50178,61,Two year,45.03,2080.54,No internet service,Yes,Yes,Yes,Mailed check,No,0,No,No,Yes,No,0,0.0,2,1,0
CUST50179,34,One year,83.25,2751.96,DSL,No,No,Yes,Electronic check,No,0,No,No,Yes,No,1,20.57,1,0,0
CUST50180,53,Two year,48.64,2467.51,DSL,No,No,Yes,Mailed check,Yes,0,No,No,No,No phone service,1,18.35,0,0,0
CUST50181,8,Two year,73.52,646.41,DSL,Yes,Yes,No,Credit card (automatic),Yes,0,No,No,Yes,No,2,24.27,1,0,1
CUST50182,18,Month-to-month,104.81,1489.96,Fiber optic,No,Yes,No,Bank transfer (automatic),Yes,0,No,Yes,Yes,No,1,32.96,0,1,0
CUST50183,17,Month-to-month,110.06,1842.36,DSL,Yes,No,Yes,Electronic check,Yes,0,No,Yes,Yes,No,0,2.86,1,0,0
CUST50184,21,One year,23.76,573.09,DSL,No,No,No,Credit card (automatic),No,0,Yes,No,Yes,No,0,58.33,0,0,0
CUST50185,22,One year,104.33,1744.49,DSL,No,Yes,No,Electronic check,Yes,0,No,No,Yes,No,4,27.38,0,1,0
CUST50186,31,Month-to-month,107.75,2577.89,DSL,No,No,No,Electronic check,Yes,1,No,No,Yes,No,1,38.3,0,0,1
CUST50187,69,Month-to-month,92.7,4804.96,DSL,No,Yes,Yes,Mailed check,No,0,No,No,Yes,Yes,1,44.93,0,0,0
